flight_id,source_file,channel,count,missing_count,missing_pct,min,max,mean,median,std,p25,p75,is_constant,impossible_value_flag
FLIGHT_02,log_220417_125002_LFQA.csv,IAS,2838,1,0.035,-1.02,154.4,94.03,120.74,61.13,0.0,146.25,False,True
FLIGHT_02,log_220417_125002_LFQA.csv,OAT,2839,1,0.035,8.5,22.0,13.44,10.0,5.32,8.8,19.2,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,volt1,2836,1,0.035,23.3,27.7,27.55,27.7,0.65,27.7,27.7,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,amp1,2836,1,0.035,-7.8,6.8,1.19,0.9,1.84,0.5,1.9,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 RPM,4411,0,0.0,0.0,2506.5,2295.38,2493.8,494.64,2490.0,2495.8,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 MAP,4411,0,0.0,8.58,36.73,28.4,30.35,7.44,29.51,30.79,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 FFlow,4411,0,0.0,2.37,39.83,19.14,16.12,10.87,13.92,19.77,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 OilT,4411,0,0.0,149.98,195.28,178.84,178.28,9.01,172.85,185.76,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 OilP,4411,0,0.0,0.18,56.32,49.13,50.65,6.6,48.91,51.86,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT1,4411,0,0.0,28.0,367.83,321.42,339.79,43.5,303.73,351.41,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT2,4410,1,0.023,144.16,359.3,313.27,327.08,40.63,296.04,339.17,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT3,4410,1,0.023,148.54,382.14,330.48,343.52,44.34,311.58,358.72,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT4,4410,1,0.023,153.23,367.19,321.38,336.52,40.15,303.74,345.42,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT5,4410,1,0.023,136.14,358.65,310.83,317.7,40.24,300.63,338.9,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 CHT6,4410,1,0.023,141.95,370.11,318.57,333.33,44.94,299.57,347.62,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT1,4410,1,0.023,150.76,1584.77,1379.31,1468.16,196.45,1309.18,1507.58,False,False
FLIGHT_03,log_210613_115132_LDLO.csv,E1 EGT2,4410,1,0.023,156.36,1622.65,1394.63,1494.9,208.33,1308.66,1538.75,False,False
